,category_id,views,likes,dislikes,comment_count,publish_time
397,23,134372,7979,80,310,2017-11-09T14:00:17.000Z
398,22,55901,477,132,105,2017-11-09T18:24:34.000Z
399,24,207678,10372,69,554,2017-11-09T23:59:08.000Z
400,1,3979891,151850,2378,8079,2017-11-15T14:01:03.000Z
401,26,387902,24442,414,1346,2017-11-15T14:52:38.000Z
402,22,1803724,57470,5261,7483,2017-11-14T21:00:02.000Z
403,24,3621389,141681,1289,8127,2017-11-15T06:42:14.000Z
404,23,1012513,20036,6510,5153,2017-11-14T16:43:11.000Z
405,20,224426,17784,225,2762,2017-11-15T20:00:00.000Z
406,23,1147169,31832,1902,1498,2017-11-14T15:32:51.000Z
407,28,1362421,8970,4131,3857,2017-11-14T12:02:49.000Z
408,24,593969,24672,735,5173,2017-11-15T07:55:04.000Z
409,24,2916453,93039,1765,6493,2017-11-14T18:31:20.000Z
410,25,533940,12633,597,1828,2017-11-15T11:30:00.000Z
411,24,1559003,29898,884,1838,2017-11-15T14:00:02.000Z
412,28,2900560,37329,34908,10768,2017-11-14T00:45:15.000Z
413,24,760341,13283,317,433,2017-11-15T05:15:45.000Z
414,26,1961066,142740,773,8471,2017-11-14T12:06:56.000Z
415,10,1258937,114661,2509,11298,2017-11-15T05:00:02.000Z
416,10,133212,6260,202,528,2017-11-15T13:10:12.000Z
417,24,235655,2665,109,336,2017-11-15T01:25:18.000Z
418,24,208117,21334,255,1229,2017-11-15T20:11:41.000Z
419,17,229515,9435,90,759,2017-11-15T17:00:36.000Z
420,1,1496471,43974,2045,9442,2017-11-14T17:00:07.000Z
421,23,211596,3802,78,232,2017-11-15T12:00:01.000Z
422,23,2223948,76806,1169,4176,2017-11-14T04:55:24.000Z
423,28,5531707,72727,3362,14816,2017-11-13T20:09:58.000Z
424,28,623803,17286,511,6126,2017-11-15T00:00:03.000Z
425,23,1610930,85208,916,5001,2017-11-14T18:01:03.000Z
426,24,42571,3557,147,693,2017-11-15T13:29:28.000Z
427,10,507753,35595,483,2176,2017-11-15T03:43:47.000Z
428,24,237107,2207,138,261,2017-11-15T15:00:05.000Z
429,28,1825705,77531,4156,12025,2017-11-15T02:17:29.000Z
430,1,1251180,32186,455,4166,2017-11-14T18:00:01.000Z
431,24,79863,259,131,47,2017-11-15T10:17:25.000Z
432,10,50934,2793,104,295,2017-11-15T17:05:36.000Z
433,27,21740,979,5,93,2017-11-15T16:00:00.000Z
434,24,574778,7517,154,515,2017-11-14T12:13:35.000Z
435,25,153220,660,320,479,2017-11-14T21:51:20.000Z
